Symbol,Year,Sector,Threshold,Initial_Capital,Final_Value,Total_Return,B&H_Return,Outperformance,Max_Drawdown,Sharpe_Ratio,Trades_Executed,Num_Trades,Win_Rate
WMT,2024,Consumer,0.6,100000,103377.75844369945,0.03377758443699451,0.034943407135355035,-0.001165822698360526,-0.0063960379147025405,4.932643843066699,4,4,0.75
WMT,2024,Consumer,0.65,100000,105862.41355341669,0.05862413553416685,0.034943407135355035,0.023680728398811815,-0.006396037914702579,6.29124726035784,4,4,0.75
WMT,2024,Consumer,0.7,100000,104713.46544053324,0.047134654405332405,0.034943407135355035,0.012191247269977369,-0.00639603791470252,4.880179375022649,3,3,0.6666666666666666
WMT,2024,Consumer,0.75,100000,102518.75081812822,0.025187508181282174,0.034943407135355035,-0.009755898954072861,-0.006396037914702561,3.08868168157768,2,2,0.5
WMT,2024,Consumer,0.8,100000,99448.94104498965,-0.005510589550103469,0.034943407135355035,-0.0404539966854585,-0.006394603174896952,-1.5074587723495274,1,1,0.0
WMT,2024,Consumer,0.85,100000,99342.77040266382,-0.006572295973361761,0.034943407135355035,-0.041515703108716794,-0.008218930014897628,-1.5094973312107023,1,1,0.0
BA,2024,Industrial,0.6,100000,103392.93349810092,0.03392933498100916,-0.13268815083369262,0.1666174858147018,-0.005070503214791492,4.6099020661595995,3,3,1.0
BA,2024,Industrial,0.65,100000,103965.05312452512,0.03965053124525118,-0.13268815083369262,0.17233868207894382,-0.005053568246079152,4.756755911873119,3,3,0.6666666666666666
BA,2024,Industrial,0.7,100000,103735.09964866338,0.037350996486633814,-0.13268815083369262,0.17003914732032643,-0.005048140746086489,4.379260787640437,3,3,0.6666666666666666
BA,2024,Industrial,0.75,100000,102201.09789560369,0.02201097895603685,-0.13268815083369262,0.15469912978972947,-0.009071110393414406,2.5437996706247668,2,2,0.5
BA,2024,Industrial,0.8,100000,99226.68288259725,-0.00773317117402752,-0.13268815083369262,0.1249549796596651,-0.009071110393414503,-1.7009324415500977,1,1,0.0
BA,2024,Industrial,0.85,100000,99226.68288259725,-0.00773317117402752,-0.13268815083369262,0.1249549796596651,-0.009071110393414503,-1.7009324415500977,1,1,0.0
CAT,2024,Industrial,0.6,100000,106282.21192329597,0.06282211923295966,0.17916186602501227,-0.11633974679205261,-0.006378935503215919,6.034622019701092,6,5,0.8
CAT,2024,Industrial,0.65,100000,107399.27189038822,0.07399271890388219,0.17916186602501227,-0.10516914712113008,-0.006378935503215937,5.8200282578443865,5,4,0.75
CAT,2024,Industrial,0.7,100000,105501.43187881802,0.05501431878818024,0.17916186602501227,-0.12414754723683202,-0.008832442395828515,4.25614167438745,4,3,0.6666666666666666
CAT,2024,Industrial,0.75,100000,105501.43187881802,0.05501431878818024,0.17916186602501227,-0.12414754723683202,-0.008832442395828515,4.25614167438745,4,3,0.6666666666666666
CAT,2024,Industrial,0.8,100000,99981.23152120392,-0.00018768478796075215,0.17916186602501227,-0.17934955081297302,-0.007818834176132805,-0.03175435347836445,2,1,0.0
CAT,2024,Industrial,0.85,100000,100909.02736849389,0.009090273684938874,0.17916186602501227,-0.1700715923400734,-0.00043656114999798335,2.0686237945926127,1,0,0.0
