Date,Predicted_Price,Actual_Price,Predicted_Change,Actual_Change,Predicted_Change_Pct,Signal,Signal_Strength,Mean_Reversion_Signal,Signal_Source
2025-06-06,342.14793796176826,494.8786926269531,-126.58277492885675,26.147979736328125,-27.01,-1,27.01,0.021805561435312863,Model
2025-06-09,362.40088721642127,501.74456787109375,-108.69152001014122,30.65216064453125,-23.07,1,23.07,0.03271395419740331,Model
2025-06-10,361.0372641695463,499.7216796875,-108.23156517615685,30.452850341796875,-23.06,1,23.06,0.0253369729691767,Model
2025-06-11,365.10544857249545,501.55523681640625,-105.85741153492646,30.592376708984375,-22.48,1,22.48,0.02587937611246495,Model
2025-06-12,369.67594112620634,501.2562561035156,-107.51500736012179,24.0653076171875,-22.53,1,22.53,0.022750694077259746,Model
2025-06-13,354.93852783203124,504.04644775390625,-118.35611938476563,30.751800537109375,-25.01,-1,25.01,0.025227326331163296,Model
2025-06-16,376.4445861816406,503.8471374511719,-101.01543579101562,26.387115478515625,-21.16,1,21.16,0.022079118347392696,Model
2025-06-17,349.0008752441406,509.9058532714844,-127.36298583984376,33.5419921875,-26.74,-1,26.74,0.030862449443274025,Model
2025-06-18,354.1018253580729,508.2616271972656,-124.45429646809896,29.70550537109375,-26.01,-1,26.01,0.024462170288847826,Model
2025-06-20,345.508095703125,508.2715759277344,-130.21800903320315,32.54547119140625,-27.37,-1,27.37,0.021132943125037554,Model
2025-06-23,369.7171875,503.4983825683594,-114.57874145507813,19.20245361328125,-23.66,-1,23.66,0.009596028158053656,Model
2025-06-24,365.2862121582031,504.0962829589844,-123.1052978515625,15.70477294921875,-25.21,-1,25.21,0.009205889569606066,Model
2025-06-25,352.50889282226564,509.0887145996094,-138.03505249023436,18.544769287109375,-28.14,-1,28.14,0.01731231013879802,Model
2025-06-26,348.3623046875,511.9088439941406,-147.343505859375,16.203033447265625,-29.72,-1,29.72,0.021294375898945936,Model
2025-06-27,347.6467529296875,510.7030334472656,-146.55435791015626,16.501922607421875,-29.65,-1,29.65,0.01721423654513269,Model
2025-06-30,358.5251770019531,510.7727966308594,-137.14077758789062,15.106842041015625,-27.67,-1,27.67,0.01582489760158213,Model
2025-07-01,357.8824401855469,511.4404296875,-132.44229736328126,21.115692138671875,-27.01,-1,27.01,0.01502140072781297,Model
2025-07-02,379.0656372070313,531.62939453125,-110.3024658203125,42.26129150390625,-22.54,1,22.54,0.05068287687400961,Model
2025-07-03,389.68560180664065,522.2723388671875,-107.40534057617188,25.181396484375,-21.61,1,21.61,0.02962802963593508,Model
2025-07-07,376.98573608398436,533.7619018554688,-118.98911743164062,37.78704833984375,-23.99,0,23.99,0.04837407764871259,None
2025-07-08,366.920654296875,525.8995361328125,-127.95803833007812,31.020843505859375,-25.86,-1,25.86,0.029794219576232673,Model
2025-07-09,385.3939514160156,523.0994262695312,-116.35061645507812,21.3548583984375,-23.19,1,23.19,0.022173992331465702,Model
