Date,Actual_Price,Signal,Shares_Held,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2025-09-09,523.0010986328125,-1,24.0,90470.10232543945,103022.12869262695,-219.9111328125,3.022128692626953
2025-09-10,523.8695068359375,-1,12.0,96756.5364074707,103042.97048950195,20.841796875,3.042970489501953
2025-09-11,521.4241333007812,1,49.0,77463.8434753418,103013.62600708008,-29.344482421875,3.013626007080078
2025-09-12,510.0054626464844,1,79.0,62163.679595947266,102454.11114501953,-559.5148620605469,2.454111145019531
2025-09-15,513.0896606445312,1,103.0,49849.527740478516,102697.76278686523,243.65164184570312,2.6977627868652343
2025-09-16,512.610595703125,-1,52.0,75992.66812133789,102648.41909790039,-49.34368896484375,2.6484190979003905
2025-09-17,512.4708251953125,1,81.0,61131.01419067383,102641.15103149414,-7.26806640625,2.6411510314941404
2025-09-18,510.65423583984375,-1,41.0,81557.18362426758,102494.00729370117,-147.14373779296875,2.4940072937011717
2025-09-19,512.62060546875,1,72.0,65665.94485473633,102574.62844848633,80.62115478515625,2.574628448486328
2025-09-22,515.8245239257812,-1,36.0,84235.62771606445,102805.31057739258,230.68212890625,2.805310577392578
2025-09-23,516.6929321289062,1,68.0,67701.45388793945,102836.57327270508,31.2626953125,2.836573272705078
2025-09-24,519.5675659179688,1,94.0,54192.697174072266,103032.04837036133,195.47509765625,3.032048370361328
2025-09-25,519.5875244140625,-1,47.0,78613.3108215332,103033.92446899414,1.8760986328125,3.0339244689941407
2025-09-26,522.6318359375,-1,24.0,90633.8430480957,103177.0071105957,143.0826416015625,3.177007110595703
2025-09-29,530.527099609375,-1,12.0,97000.1682434082,103366.4934387207,189.486328125,3.366493438720703
2025-09-30,541.057373046875,-1,6.0,100246.51248168945,103492.8567199707,126.36328125,3.492856719970703
2025-10-01,540.538330078125,-1,3.0,101868.12747192383,103489.7424621582,-3.1142578125,3.4897424621582034
2025-10-02,524.77783203125,1,41.0,81926.56985473633,103442.46096801758,-47.281494140625,3.4424609680175777
2025-10-03,516.8426513671875,1,72.0,65904.44766235352,103117.11856079102,-325.3424072265625,3.117118560791016
2025-10-06,516.0641479492188,-1,36.0,84482.75698852539,103061.06631469727,-56.05224609375,3.0610663146972654
2025-10-07,513.3692016601562,1,68.0,68054.94253540039,102964.04824829102,-97.01806640625,2.9640482482910158
2025-10-08,506.2125549316406,1,94.0,54893.416107177734,102477.39627075195,-486.6519775390625,2.4773962707519535
2025-10-09,496.1713562011719,1,116.0,43977.64627075195,101533.52359008789,-943.8726806640625,1.5335235900878907
2025-10-10,495.8918762207031,1,133.0,35547.484375,101501.10391235352,-32.419677734375,1.5011039123535157
2025-10-13,505.0547180175781,1,147.0,28476.718322753906,102719.76187133789,1218.657958984375,2.719761871337891
2025-10-14,507.7297058105469,-1,74.0,65540.98684692383,103112.9850769043,393.22320556640625,3.112985076904297
2025-10-15,510.1851501464844,1,99.0,52786.35809326172,103294.68795776367,181.702880859375,3.294687957763672
2025-10-16,502.34979248046875,-1,50.0,77401.49792480469,102518.98754882812,-775.7004089355469,2.518987548828125
2025-10-17,509.2268981933594,0,50.0,77401.49792480469,102862.84283447266,343.85528564453125,2.8628428344726564
2025-10-20,506.54193115234375,-1,25.0,90065.04620361328,102728.59448242188,-134.24835205078125,2.7285944824218746
2025-10-21,492.8675537109375,-1,13.0,95979.45684814453,102386.73504638672,-341.85943603515625,2.3867350463867187
2025-10-22,486.2099914550781,-1,7.0,98896.716796875,102300.18673706055,-86.54830932617188,2.300186737060547
2025-10-23,478.42999267578125,-1,4.0,100332.00677490234,102245.72674560547,-54.459991455078125,2.245726745605469
2025-10-24,472.1199951171875,-1,2.0,101276.24676513672,102220.4867553711,-25.239990234375,2.220486755371094
2025-10-27,474.0,-1,1.0,101750.24676513672,102224.24676513672,3.760009765625,2.224246765136719
2025-10-28,476.989990234375,-1,1.0,101750.24676513672,102227.2367553711,2.989990234375,2.2272367553710937
2025-10-29,485.5,-1,1.0,101750.24676513672,102235.74676513672,8.510009765625,2.2357467651367187
2025-10-30,492.010009765625,-1,1.0,101750.24676513672,102242.25677490234,6.510009765625,2.242256774902344
2025-10-31,486.739990234375,1,42.0,81793.90716552734,102236.9867553711,-5.27001953125,2.2369867553710936
2025-11-03,490.0,1,75.0,65623.90716552734,102373.90716552734,136.92041015625,2.373907165527344
2025-11-04,477.7300109863281,1,102.0,52725.196868896484,101453.65798950195,-920.2491760253906,1.4536579895019532
2025-11-05,480.8399963378906,-1,51.0,77248.0366821289,101770.87649536133,317.218505859375,1.770876495361328
2025-11-06,483.1600036621094,-1,26.0,89327.03677368164,101889.19686889648,118.32037353515625,1.8891968688964842
2025-11-07,491.0199890136719,1,62.0,71650.31716918945,102093.55648803711,204.359619140625,2.0935564880371094
2025-11-10,492.0199890136719,1,91.0,57381.73748779297,102155.55648803711,62.0,2.1555564880371096
2025-11-11,478.55999755859375,1,114.0,46374.85754394531,100930.697265625,-1224.8592224121094,0.9306972656250001
2025-11-12,483.4700012207031,-1,57.0,73932.64761352539,101490.43768310547,559.7404174804688,1.4904376831054686
2025-11-13,478.5299987792969,1,87.0,59576.747650146484,101208.85754394531,-281.58013916015625,1.2088575439453126
2025-11-14,474.82000732421875,-1,44.0,79994.00796508789,100886.08828735352,-322.7692565917969,0.8860882873535156
2025-11-17,476.3900146484375,1,77.0,64273.13748168945,100955.16860961914,69.080322265625,0.9551686096191405
2025-11-18,476.1199951171875,-1,39.0,82365.69729614258,100934.37710571289,-20.79150390625,0.9343771057128907
2025-11-19,483.9800109863281,1,73.0,65910.37692260742,101240.91772460938,306.5406188964844,1.240917724609375
2025-11-20,485.9200134277344,-1,37.0,83403.49740600586,101382.53790283203,141.62017822265625,1.3825379028320313
2025-11-21,484.9200134277344,-1,19.0,92132.05764770508,101345.53790283203,-37.0,1.3455379028320313
2025-11-24,486.8500061035156,-1,10.0,96513.70770263672,101382.20776367188,36.66986083984375,1.3822077636718748
2025-11-25,488.0199890136719,-1,5.0,98953.80764770508,101393.90759277344,11.6998291015625,1.3939075927734377
2025-11-26,487.7099914550781,-1,3.0,99929.22763061523,101392.35760498047,-1.54998779296875,1.392357604980469
2025-11-28,487.1000061035156,-1,2.0,100416.32763671875,101390.52764892578,-1.8299560546875,1.3905276489257812
2025-12-01,487.4800109863281,0,2.0,100416.32763671875,101391.2876586914,0.760009765625,1.3912876586914062
