Entry_Date,Exit_Date,Ticker,Direction,Entry_Price,Exit_Price,Shares,P&L,Win
2025-05-12,2025-05-19,DGX,LONG,173.5377960205078,175.72799682617188,106,231.92912411499023,True
2025-05-12,2025-05-19,ED,LONG,100.98236846923828,103.65288543701172,219,584.2583727264405,True
2025-05-12,2025-05-19,LH,LONG,248.89768981933594,247.76695251464844,111,-125.38632897949219,False
2025-05-12,2025-05-19,CHD,LONG,94.24787139892578,95.33202362060547,293,317.3389443511963,True
2025-05-13,2025-05-19,CSGP,SHORT,75.18000030517578,76.91000366210938,49,-84.68539432525635,False
2025-05-13,2025-05-19,MCK,LONG,685.6421508789062,724.14208984375,5,192.30719512939453,True
2025-05-13,2025-05-19,BRO,LONG,108.62006378173828,111.5891342163086,34,100.84744638061524,True
2025-05-13,2025-05-19,VRSN,LONG,273.56329345703125,280.8103942871094,13,94.1180984802246,True
2025-05-19,2025-05-27,DGX,LONG,175.72799682617188,171.34762573242188,106,-463.8550166015625,False
2025-05-19,2025-05-27,GRMN,LONG,202.3551025390625,202.95753479003906,110,66.20128005981445,True
2025-05-19,2025-05-27,FTV,LONG,54.53563690185547,53.213924407958984,513,-677.3604708595276,False
2025-05-19,2025-05-27,AXP,LONG,297.1316223144531,291.63177490234375,94,-516.468671081543,False
2025-05-20,2025-05-27,PODD,LONG,327.4700012207031,326.6400146484375,11,-9.120722442626953,False
2025-05-20,2025-05-27,HSIC,SHORT,73.12999725341797,73.66000366210938,51,-27.003296516418455,False
2025-05-20,2025-05-27,UAL,LONG,76.33000183105469,78.18000030517578,49,90.55927530670166,True
2025-05-20,2025-05-27,MCK,LONG,716.9544677734375,718.1408081054688,5,5.925769958496094,True
2025-05-27,2025-06-02,FTV,LONG,53.213924407958984,52.82279968261719,345,-134.803092212677,False
2025-05-27,2025-06-02,BRO,LONG,111.66883850097656,112.98399353027344,197,258.8264552307129,True
2025-05-27,2025-06-02,SWK,LONG,64.86485290527344,61.70023727416992,424,-1340.4552305603027,False
2025-05-27,2025-06-02,ADP,LONG,320.3452453613281,320.43377685546875,86,7.606094787597656,True
2025-05-28,2025-06-02,UAL,LONG,77.5,81.2300033569336,47,175.13484761810304,True
2025-05-28,2025-06-02,PODD,LONG,323.54998779296875,325.0,11,15.934184143066407,True
2025-05-28,2025-06-02,MLM,LONG,548.2643432617188,540.1603393554688,6,-48.5753994140625,False
2025-05-28,2025-06-02,CPT,LONG,112.2649917602539,114.44055938720703,32,69.5485458984375,True
2025-06-02,2025-06-09,FOXA,SHORT,54.88710403442383,53.85187530517578,331,342.3180486717224,True
2025-06-02,2025-06-09,AXP,LONG,293.1903991699219,299.3752746582031,74,457.2231053466797,True
2025-06-02,2025-06-09,PGR,LONG,271.2803039550781,254.9042510986328,100,-1635.9676803588868,False
2025-06-02,2025-06-09,PODD,LONG,325.0,305.6600036621094,83,-1603.614476348877,False
2025-06-03,2025-06-09,FTV,LONG,54.23622131347656,55.04066848754883,69,55.45134815597534,True
2025-06-03,2025-06-09,SWK,LONG,62.853511810302734,65.68782806396484,60,169.88891624450685,True
2025-06-03,2025-06-09,OXY,SHORT,41.98342514038086,42.52432632446289,89,-48.09206517791748,False
2025-06-03,2025-06-09,MAS,LONG,61.98926544189453,63.11850357055664,60,67.68653343200684,True
2025-06-09,2025-06-16,AXP,LONG,299.3752746582031,292.08843994140625,59,-429.4933250427246,False
