entry_idx,exit_idx,entry_price,exit_price,position,pnl,return_pct,prediction,correct
14273,14333,544.47,544.43,-9,0.18000000000069577,0.003673296967707551,-0.09180030057859459,True
14342,14402,544.33,544.4,5,0.24999999999968164,0.009185604320896575,0.03887936959392792,True
14402,14462,544.4,545.7,-9,-11.880000000000614,-0.2424687729610706,-0.0811631120697483,False
14530,14590,546.9,547.7,-5,-4.100000000000341,-0.149936002925593,-0.036115453239439786,False
14616,14676,546.47,546.72,7,1.61,0.04208831225867843,0.04530916278562103,True
14680,14740,546.28,543.93,-5,11.650000000000114,0.42652119792048454,-0.04229152088411443,True
14748,14808,543.41,546.41,5,14.9,0.548388877643032,0.040697382893064064,True
14811,14871,546.63,546.65,7,-1.273321725836496e-13,-3.3277189998889195e-15,0.05330683362709582,True
14879,14939,545.74,544.97,7,-5.529999999999873,-0.14475757686810237,0.045425002257026025,False
14951,15011,544.62,545.73,5,5.450000000000069,0.20013954684000107,0.04186677392801691,True
15011,15071,545.73,544.98,5,-3.85,-0.14109541348285784,0.03510506417835239,False
15073,15133,544.95,545.2,5,1.1500000000000001,0.042205706945591344,0.0373915577219048,True
15146,15206,544.84,545.9,5,5.1999999999997275,0.19088172674545653,0.03522558777464717,True
15210,15270,545.32,545.92,-5,-3.0999999999995453,-0.11369471136211931,-0.03570080292925077,False
15309,15369,545.82,545.87,5,0.14999999999977262,0.005496317467288578,0.03482585033209374,True
15371,15431,545.86,545.27,5,-3.0500000000001593,-0.11175026563588317,0.0348133902719225,False
15434,15494,545.96,541.69,-5,21.24999999999991,0.7784453073485205,-0.03947871451755741,True
15494,15554,541.69,540.97,-9,6.300000000000246,0.12922520260666195,-0.14873898649429462,True
15567,15627,540.5213,540.12,7,-2.949099999999944,-0.07794327439085046,0.047676392047951204,False
15631,15691,540.39,542.33,5,9.600000000000273,0.35529895075779616,0.0378578648816606,True
15692,15752,542.31,541.56,7,-5.390000000000001,-0.14198521141044793,0.04777490379411494,False
15771,15831,542.05,540.19,-7,12.8799999999993,0.3394520800663961,-0.04724892366119958,True
15836,15896,540.52,540.74,5,1.0000000000001366,0.03700140605343508,0.03503069910376922,True
