entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,position,pnl,return_pct,prediction,correct
55423,55483,2024-10-09 15:07:00+00:00,2024-10-09 16:07:00+00:00,575.32,576.6111,8,10.168799999999319,0.22441423903217594,0.05601332708077387,True
55942,56002,2024-10-10 09:45:00+00:00,2024-10-10 11:39:00+00:00,576.34,576.53,5,0.8499999999997044,0.03296665162923637,0.0359667805037118,True
56023,56083,2024-10-10 12:03:00+00:00,2024-10-10 13:03:00+00:00,576.83,575.71,-5,5.500000000000023,0.1941646585649159,-0.03045447219557161,True
56086,56146,2024-10-10 13:06:00+00:00,2024-10-10 14:06:00+00:00,575.77,575.99,5,1.0000000000001366,0.038209701790650315,0.03038581707781995,True
56146,56206,2024-10-10 14:06:00+00:00,2024-10-10 15:06:00+00:00,575.99,575.63,-10,3.4000000000001362,0.06250108508828515,-0.06627549694307523,True
56219,56279,2024-10-10 15:19:00+00:00,2024-10-10 16:19:00+00:00,576.28,577.495,8,9.560000000000255,0.2108350107586645,0.04880013174979532,True
56695,56755,2024-10-11 09:46:00+00:00,2024-10-11 11:48:00+00:00,575.48,576.0,5,2.499999999999909,0.09035935219294881,0.03162733348594946,True
56761,56821,2024-10-11 11:55:00+00:00,2024-10-11 12:58:00+00:00,575.91,576.13,5,1.0000000000001366,0.038200413259020904,0.03234708091567257,True
56821,56881,2024-10-11 12:58:00+00:00,2024-10-11 14:00:00+00:00,576.13,577.105,5,4.775000000000114,0.1692326384670166,0.033996535840908476,True
56884,56944,2024-10-11 14:03:00+00:00,2024-10-11 15:03:00+00:00,577.4,579.13,7,11.970000000000127,0.2996189816418459,0.0395241684592111,True
56954,57014,2024-10-11 15:13:00+00:00,2024-10-11 16:13:00+00:00,579.55,579.0,5,-2.8499999999997727,-0.09490121646103952,0.03183517601690421,False
57474,57534,2024-10-14 10:09:00+00:00,2024-10-14 11:37:00+00:00,580.54,580.37,-5,0.7499999999997954,0.029283081269156144,-0.03351378566098202,True
57540,57600,2024-10-14 11:43:00+00:00,2024-10-14 12:49:00+00:00,580.5,580.74,5,1.1000000000000456,0.04134366925064756,0.0337100117608752,True
57612,57672,2024-10-14 13:01:00+00:00,2024-10-14 14:01:00+00:00,581.07,583.315,-5,-11.325000000000022,-0.38635620493228084,-0.0329769224216415,False
57672,57732,2024-10-14 14:01:00+00:00,2024-10-14 15:01:00+00:00,583.315,582.57,10,-7.650000000000046,-0.12771829971799192,0.05984522197986918,False
57744,57804,2024-10-14 15:13:00+00:00,2024-10-14 16:13:00+00:00,583.08,583.6,5,2.499999999999909,0.08918158743225317,0.03198604563215173,True
58255,58315,2024-10-15 09:45:00+00:00,2024-10-15 11:15:00+00:00,584.0,584.2,5,0.9000000000002274,0.03424657534247354,0.03636651794626523,True
58339,58399,2024-10-15 11:49:00+00:00,2024-10-15 12:57:00+00:00,584.1,584.57,5,2.2500000000001363,0.08046567368601734,0.03072745329160389,True
58412,58472,2024-10-15 13:10:00+00:00,2024-10-15 14:12:00+00:00,584.8,583.99,-5,3.949999999999727,0.13850889192885524,-0.0329769224216415,True
58494,58554,2024-10-15 14:34:00+00:00,2024-10-15 15:34:00+00:00,582.4999,582.6,-7,-0.8406999999999835,-0.017184552306360505,-0.04025919177238915,False
59058,59118,2024-10-16 10:16:00+00:00,2024-10-16 11:53:00+00:00,579.85,580.22,5,1.7500000000000226,0.06380960593256955,0.0359667805037118,True
59139,59199,2024-10-16 12:17:00+00:00,2024-10-16 13:22:00+00:00,580.17,579.8809,5,-1.545499999999811,-0.04983022217625216,0.030928134160575802,False
59199,59259,2024-10-16 13:22:00+00:00,2024-10-16 14:22:00+00:00,579.8809,580.42,10,5.1909999999996215,0.09296736622985206,0.05924544849540707,True
59259,59319,2024-10-16 14:22:00+00:00,2024-10-16 15:22:00+00:00,580.42,580.25,8,-1.5199999999996725,-0.02928913545362997,0.05778890584623707,False
59322,59382,2024-10-16 15:25:00+00:00,2024-10-16 16:25:00+00:00,580.35,580.8701,5,2.5004999999997835,0.0896183337641004,0.03001174535215449,True
59832,59892,2024-10-17 09:48:00+00:00,2024-10-17 11:17:00+00:00,584.85,584.75,-5,0.40000000000011365,0.017098401299482386,-0.03337665986419493,True
59905,59965,2024-10-17 11:38:00+00:00,2024-10-17 12:42:00+00:00,584.7,585.18,7,3.2199999999993314,0.0820933812211227,0.04290810799672007,True
59982,60042,2024-10-17 12:59:00+00:00,2024-10-17 13:59:00+00:00,585.46,584.06,-5,6.900000000000455,0.23912820688007566,-0.0329769224216415,True
60058,60118,2024-10-17 14:15:00+00:00,2024-10-17 15:15:00+00:00,583.56,583.64,-5,-0.5000000000002046,-0.013708958804585806,-0.031053871542060366,False
60126,60186,2024-10-17 15:23:00+00:00,2024-10-17 16:23:00+00:00,583.49,584.34,5,4.150000000000114,0.14567516152805066,0.03562143218702038,True
60613,60673,2024-10-18 10:47:00+00:00,2024-10-18 11:59:00+00:00,583.56,583.82,7,1.6800000000007322,0.044554116114899005,0.03836256676026938,True
60673,60733,2024-10-18 11:59:00+00:00,2024-10-18 13:12:00+00:00,583.82,584.05,5,1.0499999999995226,0.039395704155374,0.030339259892869112,True
60736,60796,2024-10-18 13:15:00+00:00,2024-10-18 14:16:00+00:00,584.34,583.31,-5,5.050000000000432,0.17626724167438243,-0.0329769224216415,True
60797,60857,2024-10-18 14:17:00+00:00,2024-10-18 15:17:00+00:00,583.4,584.0,5,2.9000000000001136,0.10284538909839265,0.031710312810239276,True
60868,60928,2024-10-18 15:28:00+00:00,2024-10-18 16:28:00+00:00,584.21,584.149,-5,0.20500000000017732,0.010441450848159988,-0.03174344687906284,True
61299,61359,2024-10-21 09:57:00+00:00,2024-10-21 11:33:00+00:00,583.89,582.73,5,-5.8999999999998405,-0.1986675572453661,0.03256346825737566,False
61362,61422,2024-10-21 11:36:00+00:00,2024-10-21 12:48:00+00:00,582.65,583.35,5,3.4000000000002273,0.12014073629109165,0.03256346825737566,True
61450,61510,2024-10-21 13:16:00+00:00,2024-10-21 14:16:00+00:00,583.6,584.75,-7,-8.189999999999841,-0.1970527758738823,-0.04020985899470033,False
61511,61571,2024-10-21 14:17:00+00:00,2024-10-21 15:17:00+00:00,584.77,581.17,5,-18.100000000000115,-0.6156266566342361,0.03270473879355575,False
61582,61642,2024-10-21 15:28:00+00:00,2024-10-21 16:28:00+00:00,580.78,582.1187,5,6.593500000000086,0.23050036158270207,0.036706330652949024,True
62061,62121,2024-10-22 09:45:00+00:00,2024-10-22 11:15:00+00:00,580.99,581.03,5,0.0999999999998181,0.006884800082611339,0.03502138149757683,True
62123,62183,2024-10-22 11:17:00+00:00,2024-10-22 12:21:00+00:00,581.09,581.62,5,2.5499999999998635,0.0912079023903307,0.0339997050129754,True
62184,62244,2024-10-22 12:23:00+00:00,2024-10-22 13:23:00+00:00,581.67,581.18,-5,2.3500000000000454,0.08424020492719396,-0.030368320275367473,True
62265,62325,2024-10-22 13:44:00+00:00,2024-10-22 14:44:00+00:00,580.92,581.17,5,1.1500000000000001,0.04303518556772017,0.030258244461464173,True
62325,62385,2024-10-22 14:44:00+00:00,2024-10-22 15:44:00+00:00,581.17,582.23,5,5.200000000000296,0.18239069463325003,0.03198814371499386,True
62859,62919,2024-10-23 09:45:00+00:00,2024-10-23 11:34:00+00:00,582.37,582.01,8,-3.0400000000001093,-0.06181637103559827,0.04838706069879321,False
62920,62980,2024-10-23 11:35:00+00:00,2024-10-23 12:47:00+00:00,582.04,581.61,5,-2.24999999999975,-0.07387808398047385,0.0346216440550234,False
62980,63040,2024-10-23 12:47:00+00:00,2024-10-23 13:50:00+00:00,581.61,581.27,5,-1.8000000000001593,-0.058458417152392805,0.03419768472325099,False
63043,63103,2024-10-23 13:53:00+00:00,2024-10-23 14:53:00+00:00,581.28,580.5801,5,-3.5994999999997845,-0.1204066886870281,0.031775962769770995,False
63109,63169,2024-10-23 14:59:00+00:00,2024-10-23 15:59:00+00:00,580.49,579.835,5,-3.3749999999998637,-0.1128357077641256,0.03279662066486846,False
